Country Name,ISO Code,Peace Corps Region,Status,Program Dates,Current Volunteers,Total Volunteers,Agriculture,Community Economic Development,Education,Environment,Health,Youth,Disabilities,GENEQ,HIV/AIDS,ICT4D,Volunteerism,Youth as Resources,Let Girls Learn,Feed The Future,EPCMD,Stomp Out Malaria,TEFL,PEPFAR
Indonesia,IDN,EMA,Active,"1963-1965, 2010-present",119,310,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Jamaica,JAM,IAP,Active,1962 - present,57,"3,880",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Jordan,JOR,EMA,Suspended,"1997-2002, 2004-present",0,560,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Kenya,KEN,AF,Suspended,1964-present,100,"5,155",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Kosovo,UNK,EMA,Active,2014 - present,58,60,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Kyrgyz Republic,KGZ,EMA,Active,1993-present,104,"1,135",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Lesotho,LSO,AF,Active,1967-present,83,"2,390",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Liberia,LBR,AF,Active,"1962-1990, 2008-present",10,"4,035",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Macedonia,MKD,EMA,Active,1996-present,118,635,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Madagascar,MDG,AF,Active,"1993-2009, 2009-present",138,"1,225",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
